"","V1","V2","V3","year","hr","uhr","presc_rate","population","white_pop","black_pop","other_pop","income","rural_urban","deaths"
"201","Clark County","NV",32003,"2015",12.610884520803,2.4178763554923,81.4,2109289,1509920,251675,347694,51575,"1",129
"202","Washoe County","NV",32031,"2015",17.0610155794011,2.46935751807121,90.3,445460,379757,11500,54203,52870,"2",23
"203","Carson City","NV",32510,"2015",16.5425971877585,0,139.1,54405,48671,1153,4581,47668,"2",12
"204","Belknap County","NH",33001,"2015",11.584225594519,3.30977874129115,82.2,60427,58364,401,1662,62159,"3",17
"205","Carroll County","NH",33003,"2015",72.0003388251239,10.5882851213417,85.1,47222,45970,210,1042,53306,"4",14
"206","Coos County","NH",33007,"2015",43.3530486483139,12.3865853280897,87.2,32293,31229,274,790,42312,"8",10
"207","Grafton County","NH",33009,"2015",59.6853568170813,19.1443597337808,79.5,88799,82759,948,5092,55762,"8",10
"208","Hillsborough County","NH",33011,"2015",61.0814871371747,14.0388901887861,64.9,406015,370533,10474,25008,71244,"2",131
"209","Merrimack County","NH",33013,"2015",13.5049360541278,4.05148081623834,86.1,148094,140485,2012,5597,65983,"3",26
"210","Rockingham County","NH",33015,"2015",17.2390929584936,2.65216814746055,71.9,301640,288013,2783,10844,81198,"1",76
"211","Strafford County","NH",33017,"2015",34.7815088850945,7.90488838297603,91.5,126504,117908,1548,7048,60711,"1",36
"212","Atlantic County","NJ",34001,"2015",20.1439375904188,3.29628069661399,80.3,273035,194404,46927,31704,54461,"2",41
"213","Bergen County","NJ",34003,"2015",11.0041559385049,2.67091163555945,44.3,936010,693466,64989,177555,85806,"1",66
"214","Burlington County","NJ",34005,"2015",15.1220325790849,3.11335964863513,73.4,449675,333129,79668,36878,78621,"1",15
"215","Cape May County","NJ",34009,"2015",5.27187035416425,0,95.3,94843,86961,4769,3113,57637,"2",15
"216","Cumberland County","NJ",34011,"2015",125.611146539896,24.4780695821336,98.3,155241,111598,34173,9470,49984,"2",13
"217","Essex County","NJ",34013,"2015",22.8919587592558,4.1507397750299,42.4,795039,392170,335551,67318,53976,"1",65
"218","Hudson County","NJ",34017,"2015",6.0852077504768,1.33577731108027,38.3,673765,440224,101885,131656,59741,"1",33
"219","Hunterdon County","NJ",34019,"2015",11.9626764494776,4.78507057979105,45,125390,115025,3377,6988,105444,"1",10
"220","Mercer County","NJ",34021,"2015",24.2457549724002,4.04095916206671,59.1,371199,240320,79466,51413,72804,"2",24
"221","Middlesex County","NJ",34023,"2015",37.1974418685316,9.20965602532775,44.4,836079,514505,94455,227119,79593,"1",47
"222","Monmouth County","NJ",34025,"2015",13.4019384946751,3.35048462366878,59.3,626775,531136,48140,47499,85242,"1",56
"223","Morris County","NJ",34027,"2015",13.2418707954552,3.81205371384317,45.2,498419,418796,17977,61646,100214,"1",25
"224","Ocean County","NJ",34029,"2015",5.77454478753921,0.679358210298731,70.6,588791,547492,20301,20998,61994,"1",48
"225","Passaic County","NJ",34031,"2015",9.63811816726266,0.786785156511237,50.6,508398,380940,76948,50510,59739,"1",33
"226","Somerset County","NJ",34035,"2015",15.6149122411903,3.60344128642854,38.8,333015,234551,33177,65287,100667,"1",20
