27842	501807	0.0554834826935	658913	41
11271	171698	0.0656443289963	414121	19
29	644	0.0450310559006	4015328	140
0	13	0.0	202839	20
265	4212	0.0629154795821	997418	86
173	5886	0.0293917770982	1583845	35
10211	151833	0.0672515197618	1095959	37
124	1049	0.118207816969	955217	25
3225	46370	0.0695492775501	865787	28
951	9882	0.0962355798421	63803	16
14	942	0.0148619957537	10045175	253
324	6021	0.0538116591928	429109	20
1031	18707	0.0551130592826	3120180	52
399	3074	0.129798308393	2295816	92
604	8808	0.0685740236149	1462338	53
4229	56388	0.074998226573	2091599	31
633	18132	0.0349106551952	3223645	96
8880	151075	0.0587787522754	276308	18
114	7041	0.016190881977	750109	17
3026	61505	0.0491992520933	436248	13
1795	52076	0.0344688532145	1871140	25
995	11349	0.0876729227245	179041	11
13	81	0.16049382716	424770	10
84	2129	0.0394551432597	526119	15
4490	84634	0.0530519649314	454208	10
0	95	0.0	840964	24
356	2290	0.155458515284	470590	38
0	39	0.0	608403	19
525	10527	0.0498717583357	655150	43
50	238	0.210084033613	551731	19
136	1431	0.0950384346611	316618	16
7698	144534	0.0532608244427	897926	100
471	17006	0.0276961072563	186609	22
3243	53639	0.0604597401145	273716	40
159	1211	0.131296449216	649540	57
0	21	0.0	169385	16
5853	67392	0.0868500712251	549529	32
6647	145038	0.0458293688551	1843583	60
2118	29294	0.0723014951867	196559	17
1394	30474	0.0457439128437	339537	11
6317	99438	0.0635270218629	887586	65
0	1409	0.0	174016	12
5322	148757	0.035776467662	660929	19
1289	27332	0.047160837114	342229	23
2526	71118	0.0355184341517	335688	18
1440	90640	0.0158870255958	2641928	47
8385	129302	0.0648481848695	1227607	69
0	146	0.0	300124	18
177	3169	0.0558535815715	1375826	77
5068	74179	0.0683212229876	475751	36
1883	66063	0.02850309553	622895	27
1760	38042	0.0462646548552	390105	19
14074	288890	0.0487175049327	436654	17
19646	284672	0.0690127585432	286223	11
18404	384635	0.0478479597541	501367	24
4006	53831	0.0744180862328	717935	14
54	722	0.0747922437673	715824	21
821	18034	0.0455251192193	984440	45
40	1094	0.036563071298	858071	23
15	379	0.0395778364116	986802	21
2944	51688	0.0569571273797	451866	18
13347	138110	0.096640359134	170513	12
26	2147	0.0121099208197	416439	13
0	18	0.0	205785	15
98	1630	0.0601226993865	5246731	463
5110	128158	0.0398726571888	932096	50
1532	33665	0.0455072033269	524302	22
179	2776	0.0644812680115	112239	17
0	22	0.0	112743	18
5033	47435	0.106103088437	703841	38
5032	83898	0.0599775918377	267263	31
317	7000	0.0452857142857	307043	15
0	79	0.0	199034	11
1956	37837	0.0516954303988	266863	22
388	13309	0.0291532045984	684054	47
231	2148	0.107541899441	290902	57
34411	453746	0.0758375831412	491560	35
726	14061	0.0516321740986	266885	24
2107	24216	0.0870085893624	566979	17
1248	26567	0.0469755711974	124383	24
0	52	0.0	91214	16
39279	673902	0.058285922879	98244	11
866	40464	0.0214017398181	308829	26
3256	87710	0.0371223349675	757516	58
818	22965	0.0356194208578	163494	32
157	6706	0.0234118699672	445129	19
1933	41601	0.0464652292012	435217	54
1572	23153	0.067896168963	378921	61
5951	83306	0.0714354308213	242470	13
1149	25818	0.044503834534	214685	28
2378	48263	0.0492716988169	129345	16
0	15	0.0	764154	71
17800	274293	0.0648941095835	467524	57
614	6159	0.0996915083617	160856	21
2130	97840	0.0217702371218	1558294	101
0	16	0.0	503236	53
5299	137085	0.0386548491812	760364	80
1041	34115	0.0305144364649	810546	87
27	1750	0.0154285714286	556134	10
3348	57455	0.0582716908885	824130	29
38	756	0.0502645502646	249240	12
3168	90424	0.0350349464744	892941	14
65	2226	0.029200359389	285882	12
120	725	0.165517241379	415695	21
73	5597	0.0130427014472	282684	12
0	639	0.0	257162	12
1321	59912	0.0220490052076	623221	43
3083	54442	0.0566290731421	855674	97
0	88	0.0	150253	22
2312	25238	0.09160789286	172213	10
4263	76749	0.0555446976508	273080	10
167	637	0.262166405024	354289	31
148	2330	0.0635193133047	1775713	216
235	782	0.300511508951	339027	22
10985	169804	0.0646922333985	408508	15
2619	47351	0.0553103419146	528056	25
14915	310497	0.048035890846	101739	13
6679	147289	0.0453462240901	374200	30
0	66	0.0	66181	14
690	16330	0.0422535211268	1001295	124
303	14774	0.0205090023013	318157	77
2014	41759	0.0482291242606	154886	11
8583	118668	0.072327839013	115391	19
8930	49795	0.179335274626	89386	17
2915	64334	0.0453104112911	187477	17
2964	77438	0.0382757819159	154734	15
1562	20596	0.075839968926	326354	19
2827	6767	0.41776267179	163788	25
13710	297570	0.0460731928622	288642	19
3157	55801	0.0565760470242	209450	30
4348	57649	0.0754219500772	507100	23
13748	184541	0.0744983499602	109404	12
382	6983	0.0547042818273	164756	17
14131	295061	0.0478917918668	177758	14
1885	39040	0.0482838114754	79475	10
998	32263	0.0309332672101	991904	43
0	12	0.0	213324	30
4197	75877	0.0553132042648	142336	17
1600	28294	0.0565490916802	138180	17
2510	76134	0.0329681876691	212623	12
1997	17005	0.117436048221	974717	33
1751	44192	0.0396225561188	69007	14
1177	16010	0.0735165521549	76476	11
0	42	0.0	147116	13
1052	17177	0.0612446876637	298758	26
2995	67539	0.0443447489599	276321	25
373	16483	0.0226293757204	790935	72
57	263	0.216730038023	663565	31
11558	257303	0.0449198027229	370984	19
1555	69607	0.0223397072134	629304	44
95	635	0.149606299213	499072	19
11548	168017	0.0687311403013	583090	41
19	1314	0.0144596651446	507456	33
1475	45417	0.0324768258582	549340	16
1571	24769	0.0634260567645	674942	54
107	2008	0.0532868525896	214051	13
