Baltimore city, MD	28	623215
Barnstable County, MA	28	214685
Berkshire County, MA	16	129345
Bristol County, MA	95	552184
Essex County, MA	71	764154
Hampden County, MA	57	467524
Hampshire County, MA	21	160856
Middlesex County, MA	101	1558294
Norfolk County, MA	55	688826
Plymouth County, MA	53	503236
Suffolk County, MA	80	760364
Worcester County, MA	87	810546
Genesee County, MI	21	415695
Ingham County, MI	12	282684
Kalamazoo County, MI	12	257162
Kent County, MI	43	623221
Macomb County, MI	97	855674
Monroe County, MI	22	150253
Muskegon County, MI	10	172213
Oakland County, MI	17	1232713
Ottawa County, MI	10	273080
St. Clair County, MI	13	160193
Washtenaw County, MI	31	354289
Wayne County, MI	216	1775713
Anoka County, MN	22	339027
Dakota County, MN	15	408508
Hennepin County, MN	67	1199581
Ramsey County, MN	25	528056
Franklin County, MO	13	101739
Greene County, MO	15	283987
Jackson County, MO	42	680290
Jefferson County, MO	39	221263
St. Charles County, MO	30	374200
St. Francois County, MO	14	66181
St. Louis County, MO	124	1001295
St. Louis city, MO	77	318157
Clark County, NV	141	2028421
Washoe County, NV	36	433848
Cheshire County, NH	11	76476
Hillsborough County, NH	31	403444
Merrimack County, NH	13	147116
Rockingham County, NH	26	298758
Atlantic County, NJ	25	276321
Bergen County, NJ	51	926284
Cape May County, NJ	18	95896
Cumberland County, NJ	10	156977
Essex County, NJ	72	790935
Gloucester County, NJ	10	289923
Hudson County, NJ	31	663565
Mercer County, NJ	19	370984
Middlesex County, NJ	34	831107
Monmouth County, NJ	44	629304
Morris County, NJ	19	499072
Ocean County, NJ	41	583090
Passaic County, NJ	33	507456
Somerset County, NJ	19	331244
Union County, NJ	16	549340
Bernalillo County, NM	54	674942
Dona Ana County, NM	13	214051
Rio Arriba County, NM	13	40027
Santa Fe County, NM	21	147154
Bronx County, NY	98	1429123
Broome County, NY	18	198222
Chautauqua County, NY	10	132991
Dutchess County, NY	36	296963
Erie County, NY	89	921794
Kings County, NY	109	2600098
Monroe County, NY	54	750414
Nassau County, NY	82	1354842
New York County, NY	94	1631375
Niagara County, NY	19	214214
Onondaga County, NY	21	469101
Orange County, NY	26	374958
Queens County, NY	69	2302881
Richmond County, NY	22	472570
Rockland County, NY	11	320498
Suffolk County, NY	150	1502288
Westchester County, NY	38	968826
Alamance County, NC	11	154886
Brunswick County, NC	19	115391
Burke County, NC	17	89386
Cabarrus County, NC	17	187477
Catawba County, NC	15	154734
Cumberland County, NC	19	326354
Davidson County, NC	25	163788
Durham County, NC	19	288642
Forsyth County, NC	22	361379
Gaston County, NC	30	209450
Guilford County, NC	23	507100
Henderson County, NC	12	109404
Iredell County, NC	17	164756
Johnston County, NC	14	177758
Lincoln County, NC	10	79475
Mecklenburg County, NC	43	991904
New Hanover County, NC	30	213324
Randolph County, NC	17	142336
Robeson County, NC	12	135033
Rowan County, NC	17	138180
Union County, NC	12	212623
Wake County, NC	33	974717
Wilkes County, NC	14	69007
Allen County, OH	12	105216
Butler County, OH	65	371387
Clark County, OH	16	136740
Clermont County, OH	41	200219
Cuyahoga County, OH	160	1263796
Franklin County, OH	132	1215200
Greene County, OH	10	163865
Hamilton County, OH	141	804083
Lake County, OH	27	229605
Licking County, OH	11	168521
Lorain County, OH	37	302851
Lucas County, OH	40	436249
Mahoning County, OH	13	234384
Medina County, OH	11	174667
Montgomery County, OH	69	534336
Portage County, OH	13	161593
Richland County, OH	20	122263
Stark County, OH	10	374992
Summit County, OH	49	542195
Trumbull County, OH	26	206508
Warren County, OH	15	219743
Cleveland County, OK	12	270161
Oklahoma County, OK	52	755921
Tulsa County, OK	38	623488
Clackamas County, OR	22	388111
Deschutes County, OR	11	165930
Jackson County, OR	11	207998
Lane County, OR	23	355650
Multnomah County, OR	58	766589
Washington County, OR	13	555661
Allegheny County, PA	132	1233814
Beaver County, PA	22	170072
Berks County, PA	25	413965
Bucks County, PA	28	626313
Butler County, PA	17	185370
Dauphin County, PA	21	271307
Delaware County, PA	17	561619
Erie County, PA	20	280117
Fayette County, PA	16	134835
Lackawanna County, PA	15	213759
Lancaster County, PA	17	530238
Lawrence County, PA	12	89150
Lehigh County, PA	11	355817
Luzerne County, PA	11	320041
Montgomery County, PA	45	813704
Northampton County, PA	15	299515
Philadelphia County, PA	36	1556686
Washington County, PA	27	208184
Westmoreland County, PA	11	361128
York County, PA	17	439521
Kent County, RI	22	164856
Newport County, RI	11	82523
Providence County, RI	84	629816
Charleston County, SC	15	372289
Greenville County, SC	25	474070
Pickens County, SC	15	119208
Richland County, SC	13	397645
Spartanburg County, SC	13	290757
Anderson County, TN	12	75443
Blount County, TN	11	124943
Campbell County, TN	11	40211
Davidson County, TN	42	659428
Hamilton County, TN	27	349036
Knox County, TN	61	444170
Roane County, TN	14	53011
Shelby County, TN	60	939074
Bell County, TX	11	326654
Bexar County, TX	89	1823749
Collin County, TX	18	858717
Dallas County, TX	122	2485781
Denton County, TX	18	729690
El Paso County, TX	32	832457
Galveston County, TX	16	307303
Harris County, TX	168	4352462
Hidalgo County, TX	16	819173
Jefferson County, TX	10	252874
Lubbock County, TX	14	289899
Montgomery County, TX	12	499574
Nueces County, TX	31	352950
Tarrant County, TX	39	1913437
Travis County, TX	33	1121968
Webb County, TX	20	263861
Salt Lake County, UT	48	1081155
Utah County, UT	24	552406
Weber County, UT	11	238601
Chittenden County, VT	12	159931
Chesterfield County, VA	20	327955
Culpeper County, VA	10	48467
Fairfax County, VA	18	1134972
Henrico County, VA	13	319585
Prince William County, VA	15	439175
Stafford County, VA	10	136994
Chesapeake city, VA	16	230515
Newport News city, VA	12	181496
Norfolk city, VA	22	245169
Richmond city, VA	20	213931
Roanoke city, VA	14	99047
Virginia Beach city, VA	29	449120
Clark County, WA	22	442843
King County, WA	117	2047618
Pierce County, WA	56	819336
Snohomish County, WA	39	746008
Spokane County, WA	14	479434
Berkeley County, WV	15	108589
Cabell County, WV	16	96987
Kanawha County, WV	15	191373
Dane County, WI	20	510322
Kenosha County, WI	17	167651
Milwaukee County, WI	89	957286
Racine County, WI	19	194807
Walworth County, WI	11	103041
Waukesha County, WI	18	394025
