Jefferson County, AL	41	658913
Mobile County, AL	19	414121
Anchorage Borough, AK	17	301537
Maricopa County, AZ	140	4015328
Mohave County, AZ	20	202839
Pima County, AZ	86	997418
Pinal County, AZ	12	385360
Alameda County, CA	35	1583845
Contra Costa County, CA	37	1095959
Fresno County, CA	25	955217
Humboldt County, CA	11	134640
Kern County, CA	28	865787
Lake County, CA	16	63803
Los Angeles County, CA	253	10045175
Monterey County, CA	20	429109
Orange County, CA	52	3120180
Placer County, CA	10	366858
Riverside County, CA	92	2295816
Sacramento County, CA	53	1462338
San Bernardino County, CA	31	2091599
San Diego County, CA	96	3223645
San Francisco County, CA	35	840715
San Joaquin County, CA	18	704654
San Luis Obispo County, CA	18	276308
San Mateo County, CA	17	750109
Santa Barbara County, CA	13	436248
Santa Clara County, CA	25	1871140
Shasta County, CA	11	179041
Solano County, CA	10	424770
Stanislaus County, CA	15	526119
Tulare County, CA	10	454208
Ventura County, CA	24	840964
Adams County, CO	38	470590
Arapahoe County, CO	19	608403
Boulder County, CO	26	310706
Denver County, CO	33	648411
Douglas County, CO	15	306368
El Paso County, CO	43	655150
Jefferson County, CO	19	551731
Larimer County, CO	16	316618
Pueblo County, CO	25	161240
Weld County, CO	10	270368
Fairfield County, CT	66	941793
Hartford County, CT	100	897926
Litchfield County, CT	22	186609
Middlesex County, CT	14	165301
New Haven County, CT	108	862515
New London County, CT	40	273716
Kent County, DE	16	169385
New Castle County, DE	32	549529
Sussex County, DE	19	206439
District of Columbia, DC	57	649540
Brevard County, FL	18	551148
Broward County, FL	60	1843583
Clay County, FL	17	196559
Collier County, FL	11	339537
Duval County, FL	65	887586
Hernando County, FL	12	174016
Hillsborough County, FL	65	1294039
Lee County, FL	19	660929
Manatee County, FL	23	342229
Marion County, FL	18	335688
Miami-Dade County, FL	47	2641928
Orange County, FL	69	1227607
Osceola County, FL	18	300124
Palm Beach County, FL	77	1375826
Pasco County, FL	36	475751
Pinellas County, FL	58	929683
Polk County, FL	27	622895
St. Lucie County, FL	11	286223
Sarasota County, FL	19	390105
Seminole County, FL	17	436654
Volusia County, FL	24	501367
Cobb County, GA	14	717935
DeKalb County, GA	21	715824
Fulton County, GA	45	984440
Gwinnett County, GA	23	858071
Honolulu County, HI	21	986802
Ada County, ID	13	416439
Champaign County, IL	15	205785
Cook County, IL	463	5246731
DuPage County, IL	50	932096
Kane County, IL	22	524302
Kankakee County, IL	17	112239
Lake County, IL	38	703841
LaSalle County, IL	18	112743
McHenry County, IL	15	307043
Madison County, IL	31	267263
Peoria County, IL	20	188406
St. Clair County, IL	22	266863
Sangamon County, IL	11	199034
Will County, IL	47	684054
Winnebago County, IL	57	290902
Lake County, IN	35	491560
Marion County, IN	45	928515
Porter County, IN	24	166578
St. Joseph County, IN	24	266885
Polk County, IA	18	451866
Scott County, IA	12	170513
Johnson County, KS	17	566979
Sedgwick County, KS	23	506570
Boone County, KY	24	124383
Campbell County, KY	16	91214
Daviess County, KY	11	98244
Fayette County, KY	26	308829
Jefferson County, KY	58	757516
Kenton County, KY	32	163494
East Baton Rouge Parish, LA	19	445129
Jefferson Parish, LA	54	435217
Orleans Parish, LA	61	378921
St. Tammany Parish, LA	13	242470
Cumberland County, ME	12	285882
York County, ME	10	199375
Anne Arundel County, MD	10	556134
Baltimore County, MD	29	824130
Harford County, MD	12	249240
Prince George's County, MD	14	892941
