Santa Fe County, NM	22	147977
Bronx County, NY	98	1441757
Broome County, NY	14	197516
Chautauqua County, NY	12	131773
Dutchess County, NY	19	296380
Erie County, NY	52	923193
Jefferson County, NY	10	118964
Kings County, NY	104	2620720
Monroe County, NY	74	750362
Nassau County, NY	72	1358673
New York County, NY	79	1636966
Niagara County, NY	16	213449
Oneida County, NY	15	233272
Onondaga County, NY	25	468659
Orange County, NY	29	375994
Queens County, NY	54	2322450
Richmond County, NY	31	473301
Suffolk County, NY	136	1502342
Westchester County, NY	39	972504
Brunswick County, NC	13	118919
Buncombe County, NC	17	250297
Cabarrus County, NC	15	191929
Catawba County, NC	17	154618
Cumberland County, NC	24	325814
Davidson County, NC	13	164067
Durham County, NC	17	295323
Forsyth County, NC	25	365593
Gaston County, NC	28	211040
Guilford County, NC	33	512959
Iredell County, NC	19	166822
Mecklenburg County, NC	71	1011928
New Hanover County, NC	17	216585
Onslow County, NC	11	185267
Pitt County, NC	15	175103
Robeson County, NC	11	134732
Rowan County, NC	15	138648
Union County, NC	11	218337
Wake County, NC	42	999271
Wilkes County, NC	16	68802
Ashtabula County, OH	16	99138
Brown County, OH	10	44078
Butler County, OH	76	373948
Clark County, OH	26	136482
Clermont County, OH	58	201375
Cuyahoga County, OH	149	1260610
Fairfield County, OH	11	150432
Fayette County, OH	12	28690
Franklin County, OH	144	1234126
Greene County, OH	21	164660
Hamilton County, OH	171	806332
Lake County, OH	28	229220
Licking County, OH	12	169407
Lorain County, OH	28	304187
Lucas County, OH	81	434615
Mahoning County, OH	14	233298
Marion County, OH	21	65674
Medina County, OH	14	175963
Montgomery County, OH	113	532515
Portage County, OH	24	162235
Richland County, OH	25	121914
Scioto County, OH	12	77326
Stark County, OH	20	375638
Summit County, OH	97	542600
Trumbull County, OH	42	205255
Warren County, OH	24	221816
Wood County, OH	11	129575
Cleveland County, OK	12	270189
Oklahoma County, OK	46	766845
Tulsa County, OK	34	630428
Clackamas County, OR	21	394504
Jackson County, OR	11	210151
Lane County, OR	16	358506
Linn County, OR	16	119269
Multnomah County, OR	65	777880
Washington County, OR	20	563273
Allegheny County, PA	166	1232896
Beaver County, PA	15	169338
Berks County, PA	33	414360
Bucks County, PA	21	626608
Butler County, PA	12	186386
Chester County, PA	11	513291
Cumberland County, PA	13	243533
Dauphin County, PA	20	272078
Delaware County, PA	32	562957
Erie County, PA	18	278936
Fayette County, PA	15	134255
Lackawanna County, PA	14	212561
Lancaster County, PA	27	533645
Lawrence County, PA	14	88514
Lehigh County, PA	19	358286
Mercer County, PA	12	114957
Montgomery County, PA	49	816608
Philadelphia County, PA	59	1561562
Washington County, PA	21	208175
Westmoreland County, PA	14	359353
York County, PA	33	441177
Kent County, RI	18	164957
Providence County, RI	83	632025
Washington County, RI	21	126430
Aiken County, SC	11	164537
Charleston County, SC	19	380338
Greenville County, SC	21	482577
Horry County, SC	10	298258
Pickens County, SC	14	120622
Richland County, SC	14	401591
Spartanburg County, SC	15	293536
York County, SC	16	245124
Blount County, TN	13	126124
Davidson County, TN	39	669094
Hamblen County, TN	12	62994
Hamilton County, TN	23	350800
Knox County, TN	70	448617
Roane County, TN	10	52756
Shelby County, TN	67	938405
Bexar County, TX	92	1860274
Collin County, TX	31	886052
Dallas County, TX	146	2519625
Denton County, TX	12	754792
Ector County, TX	14	154399
El Paso County, TX	32	835545
Fort Bend County, TX	14	686650
Galveston County, TX	17	314283
Harris County, TX	122	4447577
Hidalgo County, TX	12	831561
Jefferson County, TX	17	252439
Lubbock County, TX	11	295039
Nueces County, TX	28	356494
Tarrant County, TX	67	1946346
Travis County, TX	29	1150996
Webb County, TX	14	267018
Davis County, UT	11	329694
Salt Lake County, UT	66	1092888
Utah County, UT	19	561534
Weber County, UT	12	240500
Chesterfield County, VA	12	332593
Fairfax County, VA	28	1139045
Henrico County, VA	25	322818
Loudoun County, VA	11	363494
Prince William County, VA	12	445006
Roanoke County, VA	12	93979
Chesapeake city, VA	11	233479
Newport News city, VA	11	182499
Norfolk city, VA	21	246199
Portsmouth city, VA	11	95955
Richmond city, VA	36	216910
Virginia Beach city, VA	21	450879
Clark County, WA	27	450441
King County, WA	91	2082288
Pierce County, WA	50	831161
Snohomish County, WA	26	759417
Spokane County, WA	15	484418
Berkeley County, WV	26	110394
Cabell County, WV	13	96827
Kanawha County, WV	21	190151
Dane County, WI	17	516929
Milwaukee County, WI	84	957913
Racine County, WI	13	194986
Walworth County, WI	11	103499
Waukesha County, WI	23	395335
Winnebago County, WI	12	169639
